Property type,Subtype,Price,Age,Living area,Bedrooms,Bathrooms,Terrace Area,EPC score,Land surface,Taxes,Population Density,Facades,Building state,Region,Latitude,Longitude,Income
0,1,330000.0,16.0,120.0,3,1.0,15.0,3.0,0,87069930.92,866,2.0,1.0,3,50.6893737,4.2214131,405150808.1
0,1,284700.0,16.0,94.0,2,1.0,15.0,2.0,0,357566926.3,787,2.0,1.0,2,50.9524495,5.2509784643733,1486443144.0
1,2,210000.0,49.0,130.0,3,1.0,40.0,5.0,415,87069930.92,866,2.0,1.0,3,50.6893737,4.2214131,405150808.1
1,2,179000.0,49.0,110.0,3,1.0,0.0,3.0,741,39400550.7,269,3.0,0.0,2,50.9975916,3.1103285411089,175981899.5
0,1,187000.0,19.0,55.0,2,1.0,15.0,3.0,0,55103723.84,276,2.0,1.0,2,51.2415107,3.0049248,249108292.1
0,1,359000.0,16.0,80.0,2,1.0,15.0,1.0,0,55103723.84,276,2.0,1.0,2,51.2415107,3.0049248,249108292.1
0,1,355000.0,0.0,101.0,3,0.0,13.0,1.0,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
0,1,310000.0,0.0,81.0,2,0.0,10.0,1.0,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,585000.0,0.0,180.0,4,0.0,17.0,2.5,0,1096990579.0,1709,3.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,495000.0,47.0,255.0,3,1.0,0.0,2.0,700,119514107.1,337,3.0,0.0,2,51.1195778,3.5642436785112,500634461.9
1,2,375000.0,55.0,130.0,5,2.0,15.0,1.0,251,84353980.45,1519,3.0,1.0,2,50.8843903,4.0665468327116,359174126.2
0,1,300000.0,17.0,82.0,2,1.0,5.0,2.0,0,57281818.89,263,2.0,1.0,3,49.6827625,5.811919,586341258.4
0,1,299000.0,39.0,125.0,3,1.0,7.0,2.0,0,106004475.9,1032,2.0,1.0,2,51.0565194,4.3723517,453126635.7
