Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
HOUSE,5500,HOUSE,None,129000,New classified,2,90,1,0,1,0,G,1,10,1,10,71,3,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/dinant/5500/20365476
APARTMENT,1050,GROUND_FLOOR,None,265000,New classified,1,62,1,0,None,0,G,0,None,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/ground-floor/for-sale/ixelles/1050/20365477
HOUSE,9200,HOUSE,1930,199000,New classified,2,150,0,0,1,0,E,0,None,0,None,552,3,0,None,https://www.immoweb.be/en/classified/house/for-sale/schoonaarde%20%28dendermonde%29/9200/20365472
HOUSE,5503,HOUSE,2023,269900,New classified,3,150,None,0,2,0,A,1,1,1,1,709,4,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/sorinnes/5503/20365471
HOUSE,3200,HOUSE,1953,220000,New classified,3,77,0,0,1,0,F,0,None,0,None,585,3,0,None,https://www.immoweb.be/en/classified/house/for-sale/aarschot/3200/20365469
HOUSE,1080,HOUSE,None,499000,New classified,5,215,0,0,1,0,G,0,None,0,None,143,None,0,TO_RESTORE,https://www.immoweb.be/en/classified/house/for-sale/molenbeek-saint-jean/1080/20365468
APARTMENT,2387,GROUND_FLOOR,1957,250000,New classified,4,255,1,0,1,0,F,0,None,0,None,0,3,0,TO_RENOVATE,https://www.immoweb.be/en/classified/ground-floor/for-sale/baarle-hertog/2387/20365467
APARTMENT,8434,APARTMENT,1999,195000,New classified,1,59,1,0,1,0,E,1,None,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20365465
APARTMENT,9200,APARTMENT,1989,229000,New classified,2,108,1,0,1,0,A,1,5,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/20365464
APARTMENT,1200,APARTMENT,1970,550000,New classified,3,136,1,0,2,0,E,1,9,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20365451
APARTMENT,2140,APARTMENT,2017,237500,New classified,2,78,1,0,1,0,A,1,10,0,None,0,4,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20348466
HOUSE,8480,HOUSE,1948,395000,New classified,4,220,1,0,2,0,B,1,60,1,800,1193,3,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/ichtegem/8480/20365450
